family	execution_arch	source	catalogue_generation	catalogue_label	canonical_id	current_display	weight_file	presentation_flags	waiver_reasons	review_status
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | FT by Unwa	mdx:mel_band_roformer_kim_ft_unwa	MelBand Roformer — Kim Fine-Tuned · Unwa	mel_band_roformer_kim_ft_unwa.ckpt			clean
Roformer	Mel-Band Roformer	TRvlvr		Roformer Model: MelBand Roformer Kim | Inst V1 by Unwa	mdx:melband_roformer_inst_v1	MelBand Roformer — Kim Instrumental v1 · Unwa	melband_roformer_inst_v1.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Inst v1e Plus by Unwa	mdx:melband_roformer_inst_v1e_plus	MelBand Roformer — Kim Instrumental v1e Plus · Unwa	melband_roformer_inst_v1e_plus.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Inst v1e by Unwa	mdx:melband_roformer_inst_v1e	MelBand Roformer — Kim Instrumental v1e · Unwa	melband_roformer_inst_v1e.ckpt			clean
Roformer	Mel-Band Roformer	TRvlvr		Roformer Model: MelBand Roformer Kim | Inst V2 by Unwa	mdx:melband_roformer_inst_v2	MelBand Roformer — Kim Instrumental v2 · Unwa	melband_roformer_inst_v2.ckpt			clean
Roformer	Mel-Band Roformer	TRvlvr		Roformer Model: MelBand Roformer Kim | InstVoc Duality V1 by Unwa	mdx:melband_roformer_instvoc_duality_v1	MelBand Roformer — Kim Instrumental/Vocals Duality v1 · Unwa	melband_roformer_instvoc_duality_v1.ckpt			clean
Roformer	Mel-Band Roformer	TRvlvr		Roformer Model: MelBand Roformer Kim | InstVoc Duality V2 by Unwa	mdx:melband_roformer_instvox_duality_v2	MelBand Roformer — Kim Instrumental/Vocals Duality v2 · Unwa	melband_roformer_instvox_duality_v2.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | SYHFT v2 by SYH99999	mdx:MelBandRoformerSYHFTV2	MelBand Roformer — Kim SYHFT v2 · SYH99999	MelBandRoformerSYHFTV2.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | SYHFT v2.5 by SYH99999	mdx:MelBandRoformerSYHFTV2.5	MelBand Roformer — Kim SYHFT v2.5 · SYH99999	MelBandRoformerSYHFTV2.5.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | SYHFT v3 by SYH99999	mdx:MelBandRoformerSYHFTV3Epsilon	MelBand Roformer — Kim SYHFT v3 · SYH99999	MelBandRoformerSYHFTV3Epsilon.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | SYHFT by SYH99999	mdx:MelBandRoformerSYHFT	MelBand Roformer — Kim SYHFT · SYH99999	MelBandRoformerSYHFT.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Vocals Fullness v1 by Aname	mdx:melband_roformer_kim_vocals_fullness_v1_by_aname	MelBand Roformer — Kim Vocals Fullness v1 · Aname	melband_roformer_kim_vocals_fullness_v1_by_aname.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Vocals Fullness v2 by Aname	mdx:melband_roformer_kim_vocals_fullness_v2_by_aname	MelBand Roformer — Kim Vocals Fullness v2 · Aname	melband_roformer_kim_vocals_fullness_v2_by_aname.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Vocals v1 by Aname	mdx:melband_roformer_kim_vocals_v1_by_aname	MelBand Roformer — Kim Vocals v1 · Aname	melband_roformer_kim_vocals_v1_by_aname.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Vocals v2 by Aname	mdx:melband_roformer_kim_vocals_v2_by_aname	MelBand Roformer — Kim Vocals v2 · Aname	melband_roformer_kim_vocals_v2_by_aname.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Vocals v3 by Aname	mdx:melband_roformer_kim_vocals_v3_by_aname	MelBand Roformer — Kim Vocals v3 · Aname	melband_roformer_kim_vocals_v3_by_aname.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | 4-stems Large v1 by Aname	mdx:MelBand_Roformer_4stems_Large_v1_by_Aname	MelBand Roformer — Large v1 (4 Stems) · Aname	MelBand_Roformer_4stems_Large_v1_by_Aname.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Small by Aname	mdx:melband_roformer_small_by_aname	MelBand Roformer — Small · Aname	melband_roformer_small_by_aname.ckpt			clean
Roformer	Mel-Band Roformer	TRvlvr		Roformer Model: Mel-Roformer-Viperx-1143	mdx:model_mel_band_roformer_ep_3005_sdr_11.4360	MelBand Roformer — Vocals (SDR 11.44) · ViperX	model_mel_band_roformer_ep_3005_sdr_11.4360.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Vocals Fullness v1 by Gabox	mdx:mel_band_roformer_voc_fullness_v1_gabox	MelBand Roformer — Vocals Fullness v1 · Gabox	mel_band_roformer_voc_fullness_v1_gabox.ckpt			clean
